province,confirmed,date
충북,0,2020-08-02
,,
강원,0,2020-08-02
,,
경기,3,2020-08-02
,,
세종,0,2020-08-02
,,
울산,0,2020-08-02
,,
대전,0,2020-08-02
,,
광주,1,2020-08-02
,,
인천,0,2020-08-02
,,
대구,2,2020-08-02
,,
부산,1,2020-08-02
,,
서울,5,2020-08-02
,,
합계,30,2020-08-02
,,
검역,19,2020-08-01
,,
제주,0,2020-08-01
,,
경남,0,2020-08-01
,,
경북,1,2020-08-01
,,
전남,0,2020-08-01
,,
전북,0,2020-08-01
,,
충남,0,2020-08-01
,,
충북,0,2020-08-01
,,
강원,0,2020-08-01
,,
경기,7,2020-08-01
,,
세종,0,2020-08-01
,,
울산,0,2020-08-01
,,
대전,0,2020-08-01
,,
광주,0,2020-08-01
,,
인천,1,2020-08-01
,,
대구,0,2020-08-01
,,
부산,1,2020-08-01
,,
서울,2,2020-08-01
,,
합계,31,2020-08-01
,,
검역,12,2020-07-31
,,
제주,0,2020-07-31
,,
경남,0,2020-07-31
,,
경북,2,2020-07-31
,,
전남,0,2020-07-31
,,
전북,0,2020-07-31
,,
충남,1,2020-07-31
,,
충북,0,2020-07-31
,,
강원,2,2020-07-31
,,
경기,10,2020-07-31
,,
세종,0,2020-07-31
,,
울산,0,2020-07-31
,,
대전,0,2020-07-31
,,
광주,0,2020-07-31
,,
인천,0,2020-07-31
,,
대구,1,2020-07-31
,,
부산,0,2020-07-31
,,
서울,8,2020-07-31
,,
합계,36,2020-07-31
,,
검역,8,2020-07-30
,,
제주,0,2020-07-30
,,
경남,1,2020-07-30
,,
경북,1,2020-07-30
,,
전남,0,2020-07-30
,,
전북,0,2020-07-30
,,
충남,0,2020-07-30
,,
충북,0,2020-07-30
,,
강원,0,2020-07-30
,,
경기,5,2020-07-30
,,
세종,0,2020-07-30
,,
울산,0,2020-07-30
,,
대전,0,2020-07-30
,,
광주,0,2020-07-30
,,
인천,0,2020-07-30
,,
대구,0,2020-07-30
,,
부산,0,2020-07-30
,,
서울,3,2020-07-30
,,
합계,18,2020-07-30
,,
검역,21,2020-07-29
,,
제주,0,2020-07-29
,,
경남,0,2020-07-29
,,
경북,1,2020-07-29
,,
전남,0,2020-07-29
,,
전북,0,2020-07-29
,,
충남,0,2020-07-29
,,
충북,0,2020-07-29
,,
강원,0,2020-07-29
,,
경기,11,2020-07-29
,,
세종,0,2020-07-29
,,
울산,1,2020-07-29
,,
대전,0,2020-07-29
,,
광주,1,2020-07-29
,,
인천,3,2020-07-29
,,
대구,0,2020-07-29
,,
부산,1,2020-07-29
,,
서울,9,2020-07-29
,,
합계,48,2020-07-29
,,
검역,10,2020-07-28
,,
제주,0,2020-07-28
,,
경남,0,2020-07-28
,,
경북,1,2020-07-28
,,
전남,2,2020-07-28
,,
전북,0,2020-07-28
,,
충남,1,2020-07-28
,,
충북,0,2020-07-28
,,
강원,0,2020-07-28
,,
경기,6,2020-07-28
,,
세종,0,2020-07-28
,,
울산,0,2020-07-28
,,
대전,0,2020-07-28
,,
광주,0,2020-07-28
,,
인천,0,2020-07-28
,,
대구,0,2020-07-28
,,
부산,2,2020-07-28
,,
서울,6,2020-07-28
,,
합계,28,2020-07-28
,,
검역,7,2020-07-27
,,
제주,0,2020-07-27
,,
경남,0,2020-07-27
,,
경북,0,2020-07-27
,,
전남,0,2020-07-27
,,
전북,0,2020-07-27
,,
충남,1,2020-07-27
,,
충북,1,2020-07-27
,,
강원,0,2020-07-27
,,
경기,6,2020-07-27
,,
세종,0,2020-07-27
,,
울산,0,2020-07-27
,,
대전,0,2020-07-27
,,
광주,0,2020-07-27
,,
인천,0,2020-07-27
,,
대구,0,2020-07-27
,,
부산,1,2020-07-27
,,
서울,9,2020-07-27
,,
합계,25,2020-07-27
,,
검역,42,2020-07-26
,,
제주,0,2020-07-26
,,
경남,0,2020-07-26
,,
경북,0,2020-07-26
,,
전남,0,2020-07-26
,,
전북,0,2020-07-26
,,
충남,0,2020-07-26
