ages,confirmed,date
50-59,2286,2020-07-01
60-69,1668,2020-07-01
70-79,850,2020-07-01
80-,556,2020-07-01
0-9,193,2020-06-30
10-19,708,2020-06-30
20-29,3362,2020-06-30
30-39,1496,2020-06-30
40-49,1681,2020-06-30
50-59,2286,2020-06-30
60-69,1668,2020-06-30
70-79,850,2020-06-30
80-,556,2020-06-30
0-9,190,2020-06-29
10-19,704,2020-06-29
20-29,3352,2020-06-29
30-39,1490,2020-06-29
40-49,1673,2020-06-29
50-59,2280,2020-06-29
60-69,1665,2020-06-29
70-79,847,2020-06-29
80-,556,2020-06-29
0-9,187,2020-06-28
10-19,703,2020-06-28
20-29,3343,2020-06-28
30-39,1485,2020-06-28
40-49,1667,2020-06-28
50-59,2275,2020-06-28
60-69,1653,2020-06-28
70-79,846,2020-06-28
80-,556,2020-06-28
0-9,185,2020-06-27
10-19,700,2020-06-27
20-29,3331,2020-06-27
30-39,1473,2020-06-27
40-49,1657,2020-06-27
50-59,2269,2020-06-27
60-69,1640,2020-06-27
70-79,843,2020-06-27
80-,555,2020-06-27
0-9,184,2020-06-26
10-19,698,2020-06-26
20-29,3317,2020-06-26
30-39,1463,2020-06-26
40-49,1651,2020-06-26
50-59,2264,2020-06-26
60-69,1633,2020-06-26
70-79,839,2020-06-26
80-,553,2020-06-26
0-9,183,2020-06-25
10-19,696,2020-06-25
20-29,3309,2020-06-25
30-39,1453,2020-06-25
40-49,1646,2020-06-25
50-59,2260,2020-06-25
60-69,1627,2020-06-25
70-79,838,2020-06-25
80-,551,2020-06-25
0-9,182,2020-06-24
10-19,693,2020-06-24
20-29,3309,2020-06-24
30-39,1444,2020-06-24
40-49,1644,2020-06-24
50-59,2254,2020-06-24
60-69,1622,2020-06-24
70-79,836,2020-06-24
80-,551,2020-06-24
0-9,180,2020-06-23
10-19,692,2020-06-23
20-29,3306,2020-06-23
30-39,1429,2020-06-23
40-49,1633,2020-06-23
50-59,2244,2020-06-23
60-69,1617,2020-06-23
70-79,834,2020-06-23
80-,549,2020-06-23
0-9,177,2020-06-22
10-19,692,2020-06-22
20-29,3302,2020-06-22
30-39,1420,2020-06-22
40-49,1624,2020-06-22
50-59,2235,2020-06-22
60-69,1610,2020-06-22
70-79,830,2020-06-22
80-,548,2020-06-22
0-9,177,2020-06-21
10-19,691,2020-06-21
20-29,3299,2020-06-21
30-39,1416,2020-06-21
40-49,1623,2020-06-21
50-59,2230,2020-06-21
60-69,1608,2020-06-21
70-79,829,2020-06-21
80-,548,2020-06-21
0-9,177,2020-06-20
10-19,690,2020-06-20
20-29,3294,2020-06-20
30-39,1406,2020-06-20
40-49,1618,2020-06-20
50-59,2222,2020-06-20
60-69,1598,2020-06-20
70-79,823,2020-06-20
80-,545,2020-06-20
0-9,175,2020-06-19
10-19,686,2020-06-19
20-29,3285,2020-06-19
30-39,1393,2020-06-19
40-49,1610,2020-06-19
50-59,2210,2020-06-19
60-69,1585,2020-06-19
70-79,820,2020-06-19
80-,542,2020-06-19
0-9,175,2020-06-18
10-19,684,2020-06-18
20-29,3277,2020-06-18
30-39,1384,2020-06-18
40-49,1607,2020-06-18
50-59,2198,2020-06-18
60-69,1574,2020-06-18
70-79,817,2020-06-18
80-,541,2020-06-18
0-9,174,2020-06-17
10-19,683,2020-06-17
20-29,3267,2020-06-17
30-39,1380,2020-06-17
40-49,1601,2020-06-17
50-59,2189,2020-06-17
60-69,1561,2020-06-17
70-79,810,2020-06-17
80-,533,2020-06-17
0-9,172,2020-06-16
10-19,682,2020-06-16
20-29,3259,2020-06-16
30-39,1366,2020-06-16
40-49,1599,2020-06-16
50-59,2182,2020-06-16
60-69,1558,2020-06-16
70-79,805,2020-06-16
80-,532,2020-06-16
0-9,168,2020-06-14
10-19,681,2020-06-14
20-29,3251,2020-06-14
30-39,1357,2020-06-14
